Company_name,Website,Categories,Email,description,Country,Region,City,Stand_name,Stand_location,Product
CFNA,,"Fresh Produce, Fresh fruits",zhangmeng@cccfna.org.cn,,CHN,,100062-Beijing,10A22,P10,
CHAMP'POM,https://www.champpom.com,"Fresh Produce, Fresh vegetables",guillaume@champpom.com,,FRA,,Saint Remy Sous Broyes 51120 - Grand Est,6A02D,P06,
CHATEAU DE NAGES / Fruits & Co,https://www.fruitsetcompagnie.fr,"Fresh Produce, Fresh fruits",f.sournies@fruitsetcompagnie.fr,,FRA,,O5300 Ventaivon - Alpes Cote,6C05D,P06,
CHÉ FRUITS,https://www.chefruits.bio,"Fresh Produce, Fresh fruits",orders@chefruits.bio,"Ché Fruits, es una empresa familiar con una sólida tradición en el cultivo y comercialización de cítricos de alta calidad, especialmente naranjas y mandarinas. Ubicada en la Comunidad Valenciana, España, una región reconocida por su clima ideal para el cultivo de cítricos, Ché Fruits se distingue por su compromiso con la frescura y la calidad de sus productos.
Desde sus inicios, Ché Fruits ha estado profundamente arraigada en la tradición agrícola valenciana. La empresa fue fundada con la visión de ofrecer al mercado frutas de la más alta calidad, cultivadas con métodos tradicionales que respetan tanto el medio ambiente como la salud del consumidor. A lo largo de los años, Ché Fruits ha mantenido estos valores, combinándolos con innovaciones tecnológicas que han permitido mejorar la eficiencia y la sostenibilidad de sus operaciones.
Uno de los pilares fundamentales de Ché Fruits es su compromiso con la calidad. Cada fruta es cuidadosamente seleccionada y sometida a estrictos controles de calidad para asegurar que cumple con los estándares más altos antes de llegar al consumidor. La empresa emplea prácticas agrícolas sostenibles, minimizando el uso de productos químicos y promoviendo la biodiversidad en sus campos. Esto no solo garantiza la salud de los consumidores, sino que también protege el medio ambiente y asegura la sostenibilidad a largo plazo de sus cultivos.
Ché Fruits controla meticulosamente cada etapa del proceso de producción. Desde la siembra hasta la cosecha, cada paso es supervisado por expertos en agricultura que aseguran que las frutas crecen en las mejores condiciones posibles. Una vez cosechadas, las naranjas y mandarinas son cuidadosamente empaquetadas para preservar su frescura y sabor. La empresa utiliza tecnologías avanzadas de embalaje y transporte que permiten que sus productos lleguen al mercado rápidamente, manteniendo sus propiedades naturales intactas.
La sostenibilidad es un aspecto clave en la filosofía de Ché Fruits. La empresa ha implementado una serie de prácticas ecológicas para reducir su huella de carbono y proteger el medio ambiente. Esto incluye el uso de energías renovables en sus instalaciones, la implementación de técnicas de riego eficiente para conservar el agua y la promoción de la biodiversidad en sus campos. 
Ché Fruits se esfuerza por proporcionar un excelente servicio al cliente, ofreciendo una experiencia de compra directa y personalizada. A través de su plataforma en línea, los consumidores pueden ordenar frutas frescas que pasan directamente del campo a su mesa, lo que garantiza la máxima frescura y sabor. La empresa también ofrece visitas a sus campos, donde los clientes pueden ver de primera mano cómo se cultivan y se cosechan las frutas. Esta transparencia y proximidad han permitido a Ché Fruits construir relaciones duraderas con sus clientes, basadas en la confianza y la satisfacción mutua.
El compromiso de Ché Fruits con la calidad y la sostenibilidad ha sido reconocido a través de diversas certificaciones y premios. La empresa cuenta con certificaciones de calidad como GlobalGAP y es miembro de varias asociaciones agrícolas que promueven prácticas agrícolas responsables. Estos reconocimientos no solo validan los esfuerzos de Ché Fruits, sino que también aseguran a los consumidores que están comprando productos de la más alta calidad.",ESP,Valencia,Sagunto,3D20D,P03,
CHECCHI&MAGLI,www.checchiemagli.com,"Auxiliary Industry, Preharvest",giacomo@checchiemagli.com,,ITA,,40054 Budrio,10A26,P10,
CHERRY PASSION S.R.L.,,"Fresh Produce, Fresh fruits",s.pezzo@cherrypassion.com,,ITA,,37036 37036 San Martino B.A. Verona,3A04A,P03,
CHESEN BIOCHEM,http://chesenbio.com,"Auxiliary Industry, Fertilisers, agro nutrients and plant protection",sales@chesenbio.com,"As a professional provider of agrochemical in China, Chesen developed innovative post harvest solution PlanFresh(1-MCP), widely used in varieties of fruits, vegetables and flowers, to support growers, packers, shippers and retailers to enhance plant values, dedicates to helping reduce food waste.
In addition to 1-MCP, Chesen presents a comprehensive array of solutions, including Plant Growth Regulators, Herbicides, Insecticides, and Fungicides, providing you with a diverse toolkit to nurture and protect your crops.
Welcome to Chesen – Your Premier Agrochemical Partner in China!
sales@chesenbio.com",CHN,,230088 Hefei,8A35,P08,
CHESTNUT HILL FARMS LLC/FRESH FRUITS,,"Fresh Produce, Fresh fruits",adrianag@chfusa.com,,USA,,33134-Coral Gables - Florida,4E26,P04,
CHIQUITA BRANDS INTERNATIONAL SARL,https://www.chiquita.com,"Fresh Produce, Fresh fruits",clazaro@chiquita.com,,CHE,,1163-Etoy,10C13,P10,
CI Banadise S.A.S.,https://banadise.com,,lina.restrepo@banadise.com,"We are a company that commercializes fresh Cavendish bananas for markets with high quality standards, located in Medellin, Colombia.  We have our own crops on the shores of the Gulf of Uraba in the Caribbean Sea from where we export our fruit to different countries in Europe.
Each of our farms are Rainforest and Global Gap certified and also have the ICA registration that certifies them as an exporting farm for more than a decade, which guarantees our customers that our fruit has the quality and freshness of this tropical paradise.
After strengthening our export banana crops and understanding the needs of the international market, we created Banadise to commercialize our product, take it anywhere in the world and meet the expectations of consumers, lovers of this fruit.",COL,Antioquia,Medellin,4D04,,
CI CARIBBEAN EXOTICS,https://caribbeanexotics.com.co/,,marianap@carex.com.co,"We are a producer and exporter of exotic  fruits, founded in Medellin, Colombia in  1986, with presence in over 15 countries around the world and a brochure of over 14 fruits. We have 2 facilities (Rionegro and Mosquera), we ship both by air and sea container and our operations model is based on our own production and  small associations for our fair trade program with technical  assistance. Caribbean Exotics is fully committed with the social  responsibility policy.",COL,Antioquia,054048-RIONEGRO,4D04,,
CIA FRU&VER MADRID S.L.,https://www.fruiver.com,"Fresh Produce, Fresh fruits",carrasco.ivan@fruiver.com,,ESP,Madrid,Madrid,7C07,P07,
CINATUR GROUP SL,www.cinatur.com,"Fresh Produce, Fresh fruits, Fresh vegetables",contabilidad@cinatur.com,,ESP,Valencia,Valencia,3E05,P03,
CINTANDINA S.A.,,"Auxiliary Industry, Packaging and labelling",stephaniefb@cintandina.com,,COL,,760003-Cali,8E25,P08,
CITA ARAGON,https://www.cita-aragon.es,"Fresh Produce, Organisms and associations",mjrubioc@aragon.es,,ESP,Zaragoza,Zaragoza,7C11,P07,
CITIKOLD GROUP,https://citikold.com/,,jtzambrano@citikold.com,"Grupo Citikold brinda soluciones integrales de calidad en el manejo logístico y transporte de carga. Nuestra experiencia, pasión y compromiso con nuestro negocio garantiza la satisfacción y el cumplimiento de los requerimientos de nuestros clientes.
Citikold group provides integral quality solutions in logistics management and freight transportation. Our experience, passion and commitment to our business guarantees the satisfaction and fulfillment of our customers requirements.
¡Mira nuestro video!",ECU,Guayas,090105-Guayaquil,4D06,,
CITRAN SAT 3719,https://www.citransat.com,"Fresh Produce, Fresh fruits",patriciamari@citransat.com,,ESP,Sevilla,Brenes,9F11,P09,
CITRIBER,https://www.citriber.com,"Fresh Produce, Fresh fruits",lorena@citriber.com,,ESP,Castellón,Burriana,9A07A,P09,
CITRICO GLOBAL SL,https://www.citricoglobal.com,"Fresh Produce, Fresh fruits",cbosch@citricoglobal.com,,ESP,Castellón,Castellón,3B17,P03,
CITRICOM,https://www.citricom.co.za/es/,"Fresh Produce, Fresh fruits",jlopez@citricom.eu,"Citricom es una empresa B2B (negocio a negocio) que trabaja como facilitadora de propiedad intelectual, de recursos humanos, de sistemas y experiencia y de tecnología hortofrutícolas que permiten el desarrollo, cultivo y comercialización de nuevas variedades de cítricos de primera calidad.
El valor que ofrecemos a nuestros socios es la experiencia y enfoque integrados que aportamos a la planificación y gestión de la propiedad intelectual en la implantación y control de tecnología, información y servicios hortofrutícolas.
Gracias a nuestra amplia experiencia y conocimientos en el campo de la fruticultura de cítricos y sus tecnologías y marketing, nuestros socios pueden beneficiarse de un proceso agrícola y comercial coordinado e integral, desde el suministro del primer brote hasta el marketing del retail global, lo que permite que todas las partes alcancen los mejores resultados comerciales.
 
Nuestra labor incluye la integración sistemática de:

Análisis de la demanda de los consumidores
Análisis de la demanda de los consumidores
Identificación de variedades
Desarrollo tecnológico
Planificación de tierras
Implantación de variedades, técnicas y tecnología hortofrutícola
Interacción con los mercados para desarrollar variedades y tecnologías
",ZAF,,760 - Citricom Limited,8E04,P08,
"CITRICOS EL ROMERAL, S.L.",https://www.citricoselromeral.com,"Ecorganic Market, Fresh Produce",naranjas@citricoselromeral.com,,ESP,Málaga,Alhaurin de la Torre,8A02,P08,
CITRICS CARLET,,"Fresh Produce, Fresh fruits",marinaquiles@citricscarlet.com,,ESP,Valencia,Carlet,5A09A,P05,
CITRICS TERRES DE L'EBRE,https://www.citricsterresdelebre.com,"Fresh Produce, Fresh fruits",bgrau@citricsterresdelebre.com,,ESP,Tarragona,Campedro,6D02C,P06,
CITRONEX,https://WWW.CITRONEX.PL,"Fresh Produce, Fresh fruits",grazyna.aniszkiewicz@citronex.pl,,POL,,59-900 Zgorzelec,4B28,P04,
CITROSOL,https://www.citrosol.com,"Auxiliary Industry, Postharvest",emarti@citrosol.com,,ESP,Valencia,POTRIES,3C28,P03,
CITRUSLANDIA S.L.,,"Fresh Produce, Fresh fruits",arsanchez@donalber.es,,ESP,Valencia,Valencia,8A04A,P08,
CKF,,"Auxiliary Industry, Packaging and labelling",sboase@ckfinc.com,,CAN,,BOP 1PO- Hantsport,8B05A,P08,
CLAC FAIRTRADE,,"Fresh Produce, Organisms and associations",willy.p@clac-comerciojusto.org,,PER,,20001-Piura,4C23,P04,
CLASOL,,"Fresh Produce, Fresh fruits, Fresh vegetables",cesar@clasol.com,,ESP,Castellón,Castellón,7A00A,P07,
CLAUGER,https://www.clauger.com/,"Auxiliary Industry, Transport & logistics",sdesanta@clauger.fr,"Founded in 1971, Clauger is a family-owned company specializing in industrial refrigeration and air treatment. We handle auditing, design, manufacturing, installation, service, data operation, and financing of our clients' equipment. Driven by a logic of proximity, we are present nationwide with over 60 agencies, as well as internationally with more than 18 locations in over 100 countries.
𝐎𝐮𝐫 𝐌𝐢𝐬𝐬𝐢𝐨𝐧 🚀To bring maximum added value to our clients, whether to improve their products, processes, or factories, by offering all our expertise, know-how, trades, and products with a long-term commitment logic.
𝐂𝐥𝐚𝐮𝐠𝐞𝐫 𝐜𝐨𝐦𝐦𝐢𝐭𝐬 𝐭𝐨 𝐚 𝐂𝐥𝐞𝐚𝐧 𝐚𝐧𝐝 𝐆𝐫𝐞𝐞𝐧 𝐋𝐚𝐛𝐞𝐥 𝐚𝐩𝐩𝐫𝐨𝐚𝐜𝐡 💧🍃Concerned about the environmental issues of our time, we continuously innovate to support our clients in the energy optimization of their installations and the reduction of their carbon footprint. Our advanced technologies are also designed to ensure safe, healthy, and eco-friendly products.
𝐓𝐡𝐞 𝐩𝐨𝐰𝐞𝐫 𝐨𝐟 𝐭𝐡𝐞 𝐜𝐨𝐥𝐥𝐞𝐜𝐭𝐢𝐯𝐞 𝐟𝐨𝐫 𝐭𝐡𝐞 𝐟𝐚𝐜𝐭𝐨𝐫𝐲 𝐨𝐟 𝐭𝐨𝐦𝐨𝐫𝐫𝐨𝐰! 👊More than 2800 passionate experts collaborate with our clients to co-construct tailor-made, innovative solutions adapted to their specific needs. Our approach encompasses a multiple and evolving 360° offer to provide personalized solutions.",FRA,,Brignais,10G26C,P10,
CLCIRCULAR,https://www.clcircular.com/,"Fresh Food Logisitcs, Temperature control systems for cold chain ttes,",asier.garcia@clcircular.com,"En CLCircular, proporcionamos un servicio de monitorización en tiempo real mediante avanzados dispositivos IoT Data Loggers. Estos dispositivos son capaces de monitorear parámetros esenciales como temperatura, humedad, golpes, apertura de puertas y localización. Toda esta información se transmite en tiempo real a nuestra plataforma online, que puede integrarse con otras plataformas o sistemas propios a través de API's.
Nuestro modelo de negocio se fundamenta en la economía circular, con un fuerte enfoque en la sostenibilidad y el impacto positivo. En CLCircular, nuestro objetivo es reducir la siniestralidad de contenedores, disminuir el desperdicio alimentario y hacer accesible la última tecnología a un precio asequible. Por ello, en lugar de vender nuestros dispositivos, los alquilamos. Esta estrategia no solo reduce los costos para las empresas que manejan productos tan vulnerables como los perecederos, sino que también permite reciclar y reutilizar los dispositivos, minimizando el impacto negativo asociado con los data loggers desechables de un solo uso.",ESP,Vizcaya,Mungia,4B01A,P04,
CLEM2B,,,h.zineb@clem2b.com,,MAR,,20200-casablanca,2C08,,
CLEMENGOLD,,"Fresh Produce, Fresh fruits",adele@fruitalyst.com,,ZAF,,7600-Stellenbosch,4E23,P04,
CLUSTER FEMAC,https://www.femac.org,"Auxiliary Industry, Fertilisers, agro nutrients and plant protection",femac@femac.org,,ESP,Lérida,Lleida,9F22,P09,
CMA CGM,https://www.cmacgm-group.com/en,"Auxiliary Industry, Transport & logistics",ho.mzeenny@cma-cgm.com,,FRA,,13235 Marseille,10D27,P10,
CMR GROUP,,"Fresh Produce, Fresh fruits",marketing@cmrfruits.com,,ESP,Barcelona,El Prat de Llobregat,10E04,P10,
CMSA,,"Auxiliary Industry, Packaging and labelling",cmsa@cmsa.es,,ESP,Murcia,Beniaján,3C27,P03,
CN SEEDS ESPECIALIDADES SL,,"Auxiliary Industry, Seeds",pablo.zapateria@cnseeds.es,,ESP,Murcia,San Javier,7A27,P07,
"COAGUILAS, S.C.L.",,"Fresh Produce, Fresh fruits, Fresh vegetables",pl.paredes@coaguilas.es,,ESP,Murcia,Águilas,7A05,P07,
COATO,https://www.coato.com,"Fresh Produce, Fresh fruits",coato@coato.com,"COATO, Cultivando Calidad Sostenible desde 1979
COATO es una sociedad cooperativa de comercialización agraria, situada en una zona de arraigada tradición 
agrícola, en Totana (Murcia), junto a la autovía del Mediterráneo en pleno Valle del Guadalentín. 
 
Todo comenzó en 1979 con 65 productores de pimiento de pimentón. Desde entonces hemos ido creciendo, 
como nuestros cultivos, que hoy son muchos más reflejando nuestro compromiso con la calidad y la sostenibilidad. 
 
De la parte de uva y hortalizas tenemos: uva roja, uva blanca, uva negra, col picuda, col picuda morada, 
brócoli convencional, brócoli ecológico, brócoli morado y lechuga iceberg. 
 
Por otro lado, de la parte del seco tenemos: pimentón de bola convencional, pimentón de bola ecológico,
almendra convencional, almendra ecológica, aceite de oliva virgen extra convencional, 
aceite de oliva virgen extra ecológico, miel convencional y miel ecológica. 
 
En COATO, nos dedicamos a la manipulación, envasado y comercialización de uvas y hortalizas,
cumpliendo rigurosamente con las normativas medioambientales vigentes.
 
Nuestro enfoque en la calidad y el respeto al medio ambiente se extiende a todos nuestros productos,
garantizando que nuestros procesos sean sostenibles y beneficiosos para la comunidad y el entorno. 
 
COATO se enorgullece de su compromiso con la agricultura sostenible. A lo largo de los años, hemos logrado combinar la tradición 
con la innovación, garantizando prductos de la más alta calidad para nuestros clientes y contribuyendo al desarrollo económico
y social de nuestra región. 
 ",ESP,Murcia,Totana,7D19,P07,
COBANA GMBH. & CO. KG.,,"Fresh Produce, Fresh fruits",diana.menschig@cobana.com,,DEU,,20457-Hamburg,10A25,P10,
CODIAGRO,https://www.codiagro.com,"Auxiliary Industry, Fertilisers, agro nutrients and plant protection",codiagro@codiagro.com,,ESP,Castellón,Vall D'Alba,5D13,P05,
COEXPHAL,https://www.coexphal.es,"Fresh Produce, Fresh vegetables",prensa@coexphal.es,,ESP,Almería,Almería,9D15,P09,
COFRUBI,https://www.cofrubi.com,"Fresh Produce, Fresh fruits",belen.casado@cofrubi.com,,ESP,León,Carracedelo,7B16A,P07,
Cold Energy,http://www.coldenergy.it,,caputi.a@coldenergy.it,"Cold Energy is widely recognized as one of the leading engineering companies in refrigeration plants,combining quality and safety with effectiveness and profitability. Fruit ripening and controlled atmosphere storage are certainly one of our most solid fields of expertise.From the harvesting to the processing room we guarantee the absolute respect of the cold chain according to the strictest health and sanitary regulations.
Cold energy is committed to providing you with the best knowledge on the market thanks to selected suppliers. For all the projects we focus on energy efficiency , on the high reliability of the equipment and on operating costs. Our technical solutions allow to save up to 30% on the cost of energy for ventilation.
From defining your specific needs and identifying your constraints, our team of in-house experts will provide you with a complete and efficient layout and design. Cold Energy has successfully completed several turnkey installations in Europe, as well as expansion, modernization and improvement projects, in which we focus on controls, plant updates, production optimization, structural improvements and improvements in energy efficiency. Our teams adapt to the needs of your projects. We are committed to the construction, commissioning and verification of your facility, from A to Z.
Our team of engineers and food chain specialists will help you to define the complete technical specifications of your installation and will be at your disposal in all phases of your project. We will make your investments successful by integrating theseelements : food safety, environmental compatibility, working conditions, optimization of operating costs,scalability and corporate image;
Our team's reputation is based on experience and knowledge. Cold Energy engineers have more than 20 years of experience in refrigeration equipment, assimilating CO2 technology, ammonia, chilled water expansion and cooling, as well as solutions for cogeneration and heat recovery. Our fruit experts have worked for several big namesin the sector that deal with ripening. We clearly understand your needs. Innovation is one of our main drivers. You will benefit from the experience gained after the project and our ability to provide the best technologies available for your projects. Thanks to a network of highly specialized suppliers and a culture of constant improvement, Cold Energy will keep you on the edge of innovation and efficiency.",ITA,,37057-San Giovanni Lupatoto,6C08,,
COLORIFICIO VALDECIA S.R.L.,http://www.colorificiovaldecia.com/,"Auxiliary Industry, Preharvest",martina.gelpi@colorificiovaldecia.com,,ITA,,24060-Rogno,3B23A,P03,
COMITÉ INTERPROFFESSIONEL DE LA NOIX DE GRENOBLE,,"Fresh Produce, Nuts",justine.langlois@businessfrance.fr,,FRA,,38160 Chatte - Auvergne-Rhone-Alpes,6B13B,P06,
COMMERCIAL HORTICULTURAL ASSOCIATION,,"Fresh Produce, Organisms and associations",pat@cha-hort.com,,GBR,,Brasted,8B17_01,P08,
COMPAGNIE FRUITIERE,https://www.compagniefruitere.fr,"Fresh Produce, Fresh fruits",magui.martin@fruitiere.es,,ESP,Madrid,Madrid,10D08,P10,
COMPAÑÍA DE VARIEDADES VEGETALES PROTEGIDAS,www.clubvvp.com,"Fresh Produce, Fresh fruits",esther@donpawanco.com,,ESP,Valencia,Valencia,3D12,P03,
CompoPac,https://compopac.com/en/,"Auxiliary Industry, Packaging and labelling",javier.marquez@tvu.de,"At CompoPac, we are proud to offer sustainable packaging solutions with our 100% compostable natural fiber nets made from renewable wood sources. Our nets are breathable, food-safe, and biodegradable, making them perfect for fruits, vegetables Christmas trees or individual needs. Moreover, we produce compostable climbing aids for plants to save plastic, time and the money as they can be disposed directly with plant waste after the season.
Our focus: Being a trusted choice for sustainable packaging in agriculture due to reducing plastic waste, high-quality, tailor-made customer solutions and creative packaging innovations to strengthen our long-term partnerships.
 
Feel free to contact us, follow us on LinkedIn or have a look on our website for more information.",DEU,Baviera,Lauetershausen,10F28,P10,
COMUNIDAD AUTÓNOMA REGIÓN DE MURCIA,,"Fresh Produce, Organisms and associations",juan.garcia20@carm.es,,ESP,Murcia,Murcia,7C16,P07,
CONS TUT IGP CLEMENTINE GOLFO DI TARANTO,,"Fresh Produce, Fresh fruits",info@catjonico.it,,ITA,TARANTO,74019 Palagiano (TA),3B07C,P03,
CONSEJO REGULADOR DOP ALCACHOFA DE BENICARLÓ,https://www.alcachofabenicarlo.com,"Fresh Produce, Fresh vegetables",alcachofadebenicarlo.info@gmail.com,,ESP,Castellón,Benicarló,3D19,P03,
CONSELL CATALÀ DE LA PRODUCCIÓ INTEGRADA,https://www.produccionintegrada.cat,"Fresh Produce, Organisms and associations",tecnica@produccionintegrada.org,,ESP,Lérida,Segria,6C02B,P06,
CONSERVAS FAMILIA CONESA,,,mconesa@familiaconesa.com,,ESP,Alicante,SAN FULGENCIO,5E03A,,
CONSORCIO AGRICOLA ESPAÑOL SL,,"Fresh Produce, Fresh fruits",christiantaang@coagres.es,,ESP,Valencia,Valencia,3D17C,P03,
CONSORFRUT SL,,"Fresh Produce, Fresh fruits",jesus@consorfrut.com,,ESP,Valencia,Valencia,3B19,P03,
CONSORZIO AGROPONTINO,,,contabilita@cheorto.biz,,ITA,,04019-TERRACINA,3A11,,
CONSORZIO AUTOTRASPORTATORI TRANSLUSIA,,"Auxiliary Industry, Transport & logistics",amministrazione@translusia.it,,ITA,,45020 Lusia,3D24,P03,
CONSORZIO EDAMUS,,"Fresh Produce, Organisms and associations",eventi@edamus.it,,ITA,,84091 Battipaglia,3C07A,P03,
CONSORZIO GLOBAL FRESH FRUIT,,"Fresh Produce, Fresh vegetables",global.freshfruit@libero.it,,ITA,,74016 Massafra (TA),3B07,P03,
CONTROL HELADAS CON BAJO VOLUMEN DE AGUA,https://www.controlheladas.com,"Innova&Tech, Smart Agro",carlos@controlheladas.com,,ESP,Valencia,Carlet,1D05A,P01,
COOL CARRIERS,,"Fresh Food Logisitcs, Refrigerated transport and cold chain equip.",rbarckhahn@coolcarriers.cl,,SWE,,Estocolmo,4C15,P04,
COOL CONTROL,,"Fresh Food Logisitcs, Climate control solutions and preservation",robert@coolcontrol.nl,,NLD,,2676LS Maasdijk,4B01C,P04,
COOP. SAPORE DI ROMAGNA,https://www.saporediromagna.it/,"Fresh Produce, Fresh fruits",marketing@saporediromagna.it,"Our Company counts 68 Associated Producers in Italy. We market more than 17.000 tons of products between Italy, European Union countries and Oversea. Sapore di Romagna was established in Forlì in 2003 with the mission of discover new opportunities for the associates without losing sight of quality and tradition.",ITA,Forlì-Cesena,Forlì,3C05,P03,
COOP.AGR.ORTO DI CAMPO SOC.COOP.,,,amministrazione@ortodicampo.it,,ISR,,04019-TERRACINA,3A11,,
COOPENOIX,https://www.coopenoix.com,"Fresh Produce, Nuts",a.robert@coopenoix.com,"Especialista en nueces francesas desde 1929, la cooperativa Coopenoix recoge sus nueces secas (entre ellas la famosa nuez de Grenoble), nueces frescas y nueces peladas, de productores que cultivan sus nogales en Ródano-Alpes respetando totalmente las normas medioambientales y producen nueces 100% de origen francés. Con sede en Vinay, en el corazón de los Alpes franceses, Coopenoix reúne a más de 400 productores y exporta sus nueces a todo el mundo. Con más de 90 años de experiencia y un enfoque de calidad muy riguroso, Coopenoix es el número uno de la nuez francesa en Europa, con una producción media anual de 7.000 toneladas.",FRA,ISERE,VINAY,6B02B,P06,
COÖPERATIE HOOGSTRATEN,https://www.hoogstraten.eu,"Fresh Produce, Fresh fruits, Fresh vegetables",jolien.sportel@hoogstraten.eu,,BEL,,ANTWERP,6D16,P06,
COOPERATIVA DE SOSES,https://www.coopsoses.cat,"Fresh Produce, Fresh fruits",ivan@coopsoses.cat,,ESP,Lérida,Soses,6D03A,P06,
COOPERATIVA V. AGRÍCOLA MONFORTE DEL CID,https://www.copemon.com,"Fresh Produce, Fresh fruits",miriam@uvasdoce.com,,ESP,Alicante,Monforte del Cid,3C18F,P03,
COOPERATIVAS AGRO-ALIMENTARIAS DE ANDALUCÍA,,,direccion@agroalimentarias-andalucia.coop,,ESP,Sevilla,Sevilla,9F18,P09,
COPA FRESH SA,https://www.copafresh.com,"Fresh Produce, Fresh fruits",adria@copatrading.com,,ESP,Lérida,Miralcamp,6C04A,P06,
COPAG,,"Fresh Produce, Fresh fruits",felbousani@gmail.com,,MAR,,Taroudant,2C12,P02,
COPELAND,,,alexandra.habric@copeland.com,,USA,,GA 30144-Kennesaw,4A11A,N04S,
COPROHNIJAR,https://www.coprohnijar.es,"Fresh Produce, Fresh vegetables",srivas@coprohnijar.net,,ESP,Almería,San Isidro de Níjar,9B01,P09,
CORBANA,https://www.corbana.co.cr,,osanchez@corbana.co.cr,,CRI,,6504-1000 Costa Rica-San José,4D18,,
CORE FRUIT EGY,,"Fresh Produce, Fresh fruits",hisham.saleh@corefruit-eg.com,,EGY,,11131-cairo,2D09,P02,
CORPEI,https://corpei.org/,"Fresh Produce, Fresh fruits",mandrade@corpei.org.ec,"CORPEI es una agencia privada, sin fines de lucro, orientada a brindar servicios que promuevan la competitividad productiva y la mejor inserción del país y de sus empresas en los mercados internacionales.
Con más de 20 años de experiencia, y gracias a su gestión y resultados alcanzados durante toda su trayectoria, ha logrado ser reconocida, nacional e internacionalmente, como un aliado altamente profesional, transparente y eficaz.
CORPEI, en su rol de agencia de desarrollo, tiene un organismo rector o Directorio integrado por entidades del sector público y por Cámaras y Gremios de los sectores productivos privados, el cual constituye un espacio idóneo para articular ambos intereses",ECU,,090513-Guayaquil,4C04,P04,
Corporación Palmar,https://palmar.com.ec/,,comex_exportadoras@palmar.com.ec,"Somos una empresa familiar que produce y exporta bananas de alta calidad con un fuerte compromiso socioambiental.
Con más de 19 millones de cajas exportadas al año, estamos entre los principales productores y exportadores de Ecuador.
A través de nuestras subsidiarias, controlamos cada etapa del proceso, desde la producción y protección de la fruta hasta su empaque y exportación.
Todas nuestras estrategias están alineadas con los ODS, promoviendo el bienestar de nuestros colaboradores y  comunidades.
Contactos: comex_exportadoras@palmar.com.ec  / danielapalacios@palmar.com.ec /apalacios@palmar.com.ec 
Web: https://palmar.com.ec/
We are a family-owned company that produces and exports high-quality bananas with a strong socio-environmental commitment.
With over 19 million boxes exported annually, we are among Ecuador's leading producers and exporters.
Through our subsidiaries, we control every stage of the process, from the production and protection of the fruit to its packaging and export.
We align our strategies with the SDGs.
 ",ECU,El Oro ,Machala,4C04,,
CORSICA COMPTOIR,,"Fresh Produce, Fresh fruits",laetitia.casoni@corsica-comptoir.com,,FRA,,20230 San Nicolao,6C01,P06,
COSAFRA,https://www.cosafra.com,"Fresh Produce, Fresh vegetables",alvarocuesta@cosafra.com,,ESP,Granada,Huetor-Tajar,9C00,P09,
COSANSE,https://www.cosanse.com,"Fresh Produce, Fresh fruits",sergio@cosanse.com,,ESP,Zaragoza,La Almunia de Doña Godina,7B12A,P07,
"COSCO SHIPPING LINES (SPAIN), S.A.",,"Fresh Food Logisitcs, Services & logistics operators",manager@coscoiberia.com,,ESP,Barcelona,Barcelona,4A10,P04,
COSEMAR OZONO,https://www.cosemarozono.com,,esthergarcia@cosemarozono.es,,ESP,Madrid,Pinto,8A37,P08,
COSMOS GROUP Sp. z o.o.,,,cosmos.group.pl@gmail.com,,POL,,00677-Warsaw,8B15,P08,
COSTA RICA ESENCIAL COSTA RICA,https://www.procomer.com/,"Fresh Produce, Organisms and associations",fhidalgo@procomer.com,"SOMOS PROCOMER, LA PROMOTORA DEL COMERCIO EXTERIOR #1 DEL MUNDOEl pilar de apoyo para las empresas costarricenses, en especial para las micro, pequeñas y medianas, en todo su proceso de internacionalización para conquistar los mercados internacionales.",CRI,,10201-San José,4C18,P04,
COT INTERNATIONAL,https://www.cot-international.eu,"Fresh Produce, Fresh fruits",cot.international@wanadoo.fr,,FRA,,30230 Boullarges - Occitanie,6C05C,P06,
COTEXA AGROTEXTILES Y TEJIDOS TECNICOS,https://www.cotexaagro.com,"Auxiliary Industry, Preharvest",comercial@cotexaagro.com,,ESP,Jaén,Alcalá La Real,8B24,P08,
COVENTRY CHEMICALS LIMITED,,,elizabeth@coventrychemicals.com,,GBR,,CV3 4FX-COVENTRY,8B17,,
COVIRO,,"Fresh Produce, Nurseries",aurora.kamami@coviro.it,,ITA,,48015 Cervia (RA),3A02B,P03,
COVONE SRL,,"Fresh Produce, Fresh vegetables",carmelina.troiano@covonesrl.it,,ITA,,80034-Napoli,5A11A,P05,
CPR SYSTEM IBERIA,https://www.cprsystem.it/es/,"Auxiliary Industry, Packaging and labelling",josepmaria.tarazona@cpriberia.com,Alquiler de envases para frutas y hortalizas,ESP,Valencia,Alfafar,5B15,P05,
